lon,lat
-8.831271280893260212e+01,4.194532690510720840e+01
-8.831277197167169390e+01,4.194619348010382254e+01
-8.831293235016664767e+01,4.194705277548298739e+01
-8.831298200354248706e+01,4.194748496474573329e+01
-8.831298389796859283e+01,4.194791872130468846e+01
-8.831293395557393922e+01,4.194856844571729226e+01
-8.831293326024945145e+01,4.194900227255749314e+01
-8.831290364621239064e+01,4.194921800272233980e+01
-8.831357700103775699e+01,4.195076373887727783e+01
-8.831364673868428383e+01,4.195097430874128719e+01
-8.831371669208071751e+01,4.195129540292909098e+01
-8.831380971766135701e+01,4.195216030546931307e+01
-8.831382365686717151e+01,4.195259396507774596e+01
-8.831362656371328512e+01,4.195454058824299892e+01
-8.831361954789616675e+01,4.195497417843166943e+01
-8.831390002225165858e+01,4.195647781634568929e+01
-8.831416055529837195e+01,4.195721159083214502e+01
-8.831427009982820664e+01,4.195763752100840804e+01
-8.831444434285249656e+01,4.195871439236557876e+01
-8.831457173383664383e+01,4.195979486879883780e+01
-8.831463635277498270e+01,4.196011662319276070e+01
-8.831478668714748892e+01,4.196053526303130354e+01
-8.831502740630965320e+01,4.196092974103754614e+01
-8.831541866566269050e+01,4.196138635506786585e+01
-8.831630546665448378e+01,4.196224565464240897e+01
-8.831671758598886868e+01,4.196269213702263556e+01
-8.831693313742432849e+01,4.196297493287264757e+01
-8.831712530500811908e+01,4.196326699716841091e+01
-8.831735543438547609e+01,4.196366540232394016e+01
-8.831750565320285773e+01,4.196397082806333856e+01
-8.831761957384156858e+01,4.196428478815109031e+01
-8.831772689215351591e+01,4.196482104967962101e+01
-8.831778991336109641e+01,4.196503263658938465e+01
-8.831784259321625541e+01,4.196513364248345823e+01
-8.831811127666138361e+01,4.196551815804959773e+01
-8.831824219717179858e+01,4.196582818323631159e+01
-8.831857982332094537e+01,4.196710511652776887e+01
-8.831876068167244398e+01,4.196763022450885217e+01
-8.831910800845236054e+01,4.196834368732835685e+01
-8.831972793486902162e+01,4.196944342313738474e+01
-8.831985690113043574e+01,4.196975408241807060e+01
-8.831991123716673542e+01,4.196996711787980416e+01
-8.832000541101152180e+01,4.197061397134157801e+01
-8.832011610604810414e+01,4.197103935805483133e+01
-8.832010325550319862e+01,4.197125574507117562e+01
-8.832006044176682735e+01,4.197147031238193193e+01
-8.832008332724868183e+01,4.197190308462273833e+01
-8.832004939154741407e+01,4.197211824864409380e+01
-8.831993438163407006e+01,4.197243199989683404e+01
-8.831983433338197642e+01,4.197263558402690364e+01
-8.831969459831320535e+01,4.197282545119671937e+01
-8.831960516931654581e+01,4.197291089722219937e+01
-8.831927791544013928e+01,4.197312489521993939e+01
-8.831856133941755616e+01,4.197349585647181414e+01
-8.831831269307724597e+01,4.197360816444719234e+01
-8.831791373208960749e+01,4.197373833762479478e+01
-8.831763187220980171e+01,4.197379094006524980e+01
-8.831676657932999319e+01,4.197387110793599874e+01
-8.831590789172665268e+01,4.197398440614124837e+01
